,,,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,新參者友善（Y/?）,專案三個關鍵字,專案徵人（專長）,坑主聯絡方式,youtube url: 專案報告,youtube url: 成果報告,slides url
09:30 開場，09:40 提案開始【3 分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,,,
【提案、短講、成果報告都在臉書直播】g0v.tw 台灣零時政府 https://www.facebook.com/g0v.tw/,,,,,,,,,,,,,,,
0,9:20,y,新手教學,,https://www.youtube.com/watch?v=V7oZa4EInwU,,,,,,,,,,
1,9:40,y,Isabel,Y,揪松團影響力報告意見徵詢, CC-BY,https://docs.google.com/document/d/1BRL9tLmilp14367UQnUTbNnZ-tnD5b6SZVujNX3GlD0/edit?usp=sharing,,N,揪松、g0v、影響力,g0ver,#jothon,,,
2,9:43,,,,,,,,,,,,,,
3,9:46,y,Ronny,,開放國會的線上參與,CC-BY,https://g0v.hackmd.io/xG9eeQqBQXGJ0oOyTQfQ9A,https://docs.google.com/presentation/d/1F6OhQR3RrmpzhOQ94aV3sjoMlqVs7qg9NE5zpi3tDGM/edit?usp=sharing,Y,國會、開放政府,- 撰寫共筆、收集意見,#ogp,,,
4,9:49,y,John,y,幸福存摺, CC-BY,https://g0v.hackmd.io/hYxXZzK0TW6S6cD2mpSWdQ,https://docs.google.com/presentation/d/1A__UUpyTpGkAiLZpVYSE1kQLh4v3R2TWsHGHU0Cpwig/edit?usp=sharing,Y,教育，偏鄉，獎勵,"- 專案經理
- 想幫忙測試的朋友","slack #edu-幸福存摺
slack @John Huang",https://www.youtube.com/watch?v=GSmZbkMPYZg,,https://docs.google.com/presentation/d/1A__UUpyTpGkAiLZpVYSE1kQLh4v3R2TWsHGHU0Cpwig/edit?usp=sharing
5,9:52,y,"clkao, ipa",y,[藝術策展] eID 竊盜行動計畫,CC-BY,https://g0v.hackmd.io/lGXyoMltTfaNdq88veb9mA,https://docs.google.com/presentation/d/1X6kyLsSf3aauMnpGTuVT74S_A_rLYPD4KifFVhUzf40/edit#slide=id.g8cb70dd9cd_0_60,Y,數位身份、遊戲、數位藝術展覽,"- hacker (front-end, security)
- story-teller
- installation curator","slack #eid
slack @ipa @clkao",,,
6,9:55,y,強力蕉,y,地下市長大平台－交通違規檢舉系統, CC-BY,,https://docs.google.com/presentation/d/15o2lLoEr_4_fVTo1bNheTOZDwfoK0cj3nnRDL87ibbU/edit?usp=sharing,y,交通、檢舉、車牌辨識,"- UX：使用者訪談、User Journey、Heuristic Evaluation
- UI：熟悉 Material Design，擅長 Sketch 或 Figma
- 工程端：車牌辨識、 Email 驗證等
- 分析員：各縣市交通違規檢舉平台分析、道路交通管理處罰條例整理
- 對於提升台灣交通環境有想法的人們",,,,https://docs.google.com/presentation/d/15o2lLoEr_4_fVTo1bNheTOZDwfoK0cj3nnRDL87ibbU/edit?usp=sharing
7,9:58,y,健保署,y,希望有三好數位服務-健保自付差額特材 open data, CC-BY,,,y,自付差額、健保、收費、特材,,HE40@nhi.gov.tw,,,https://drive.google.com/file/d/1jOBO9_7P1zuiqM4m0izyWOSj_jov_m3D/view?usp=drivesdk      https://data.nhi.gov.tw/
8,10:01,y,hkazami,y,g0v Summit 2020 沒有人可以審稿。,,https://propose.summit2020.g0v.tw/proposal-list,https://docs.google.com/presentation/d/1LRjpLwGTlVP35XQk3vAiUX9oFgo24csby9G2yNm57Es/edit?usp=sharing,y,,任何對 Summit 稿件有興趣或有意見的人（對新手超友善～～～）,slack #summit / @hkazami,,,
9,10:04,y,小海,y,Disfactory 農地違章工廠舉報系統,"程式碼：MIT
文字、設計：CC-BY 4.0",https://g0v.hackmd.io/@yukaii/Disfactory,https://docs.google.com/presentation/d/1yWb85_DNMcek5QZ1yj6OW91xwRB3ONIfF0GGMwmxEis/edit?fbclid=IwAR19fuwYeF3WJpFC1YSUm7MUMhMkS8g5b1veh5Izos_wmTHMR1otubIbvNk#slide=id.g8e7124e0ed_0_15,not really,農地違章工廠，舉報，,"- UI/UX：有時間去台灣各地使用者調查的設計師或是 UX 研究員
- 後端：熟悉 Python Django
- 前端：Vue.js
- 資料視覺化：做舉報資料 dashboard
- 數位行銷：有數位廣告投放經驗、GA analysis、GTM",,,,
10,10:07,y,ael,y,Herstory：台日韓港女權運動紀錄,CC-BY,https://g0v.hackmd.io/EYSWYz8ZRB2oN6RHrVNf5g?both,https://docs.google.com/presentation/d/1wp40tzt8LTLWKBVl_EkofVhYchU-Wbmy1M4ilfU2Zck/edit?fbclid=IwAR0oZkMNVu8P3e2eGARU6g2j2V30-kON30H5Ry-BxkoO-ZltqiyHmgOiDyU#slide=id.g8e7805d7ea_0_101,y,"女權, 韓語, 日語",對性別議題有興趣的人、通曉韓語或日語或英語的人、UI設計、前端工程師,,,,https://drive.google.com/file/d/1jOBO9_7P1zuiqM4m0izyWOSj_jov_m3D/view?usp=drivesdk
11,10:10,y,chewei,y,臺灣好植地 🌳 來討論網站架構吧 &「樹木」相關的開源工具介紹與蒐集 Patch by Planting - Open Souce Tools about Trees~,cc-by,https://beta.hackfoldr.org/tree,https://bit.ly/0726-PPT-patch-by-planting,🌳,"1-Tool (GIS, NDVI, Grasshopper, Treepedia, UnlimitedCitiesDIY),
2-Policy (Tree-planting), 3-Community-building","一起實作 找地網站 的朋友
一起優化 專案所使用資料與工具
一起針對 政策部會 進行接洽","FB group 
https://www.facebook.com/groups/573697330058183/
slack @chewei",,,"https://bit.ly/0726-PPT-patch-by-planting
http://bit.ly/tree-taiwan-ppt"
12,10:13,y,Allen,y,地方的知識都被藏在這裡了！Wikidata 方志結構化計畫,CC0,https://hackmd.io/@wikidata-tw/BJnl89IxP,wikidata.org,Y,"CC0,地方學,資料整理",一起整理方志內容的朋友,g0v Slack #wikidatatw,,,
13,10:16,y,Ddio,y,一起打造永續的租屋社群 - Rentea 之合作租屋,cc-by,https://g0v.hackmd.io/9t6zkLjDSBmLKuMUHWSBXA,https://docs.google.com/presentation/d/1dauoFusJ5gqlVEl7w4ggB-JH-W9nMBiLKjjh7p2Yw_A,Y,租屋、合作住宅、合作經濟,"- 現在或曾經租過房子的人
- 想建立租屋者友善服務的人
- 房東！",g0v slack #rentea,,,https://docs.google.com/presentation/d/1dauoFusJ5gqlVEl7w4ggB-JH-W9nMBiLKjjh7p2Yw_A
